Wins,Public Favor,Allegiance Network_Strong,Survived
7,0.6168613419392576,0,1
15,0.7827398370090533,1,1
11,0.8358764424701896,1,1
5,0.590334917503258,0,0
12,0.9205012972719334,1,1
12,0.7899533712328136,1,0
8,0.6566141420371855,0,1
12,0.890432453149256,1,1
10,0.6568187167830299,0,0
5,0.5778367102772917,0,1
5,0.6675291901211153,0,0
14,0.949151775837812,1,1
3,0.4632001414086834,0,0
9,0.9155135384162348,1,1
3,0.5440494363782946,0,0
5,0.4739323024301116,1,1
4,0.6408952939391832,0,0
12,0.8308133845472164,1,1
5,0.470066921323061,1,0
5,0.7184511419556261,1,1
11,0.6521026742259963,1,0
5,0.6296844301652845,1,1
11,0.8127721191989806,1,0
9,0.744301576939079,1,1
10,0.8765885320119151,1,1
14,0.924675167853478,1,1
9,0.9185289679774414,1,1
12,0.8378417884120937,1,1
3,0.5985818376692191,1,0
9,0.7630756760206236,1,1
5,0.4663399623613118,0,0
4,0.6006988073962914,1,0
6,0.5417413959725578,0,1
11,0.8285282072813085,1,0
8,0.7351602372355872,1,1
15,0.8039871006620121,1,1
4,0.5360835921587647,1,0
3,0.4183134829900929,0,0
8,0.8732862346564186,1,1
2,0.5007901345857039,1,0
8,0.7679036589634821,1,1
14,0.9420518728762426,1,1
7,0.600577226192177,1,1
5,0.6487367531502429,0,0
9,0.801009855907664,1,1
5,0.6187960519379362,0,1
5,0.5852808158319991,1,1
7,0.6732154356617797,0,0
11,0.8338117405549033,1,0
11,0.628677148693753,0,0
10,0.6820227115260431,1,1
8,0.7941516729687398,1,1
5,0.6246544905916183,0,0
6,0.7276423869392791,1,1
2,0.4419935623348756,0,0
4,0.5041396811242386,0,0
9,0.7510524356465453,1,0
5,0.5279415138083348,0,0
3,0.584798444989785,0,0
9,0.8180034606679131,1,0
10,0.7569000508932114,1,1
9,0.716968707425375,1,1
15,0.9219254215188792,1,1
6,0.709756970208845,1,0
9,0.926321532426582,1,1
4,0.602090301281517,0,0
6,0.5795102398454461,0,0
8,0.7712248449997146,1,1
9,0.8307071480712463,1,0
7,0.7358005567639447,1,0
11,0.8371535415991164,1,0
6,0.6650616010035338,0,1
4,0.6067324828570915,1,0
12,0.7363061669112727,1,1
4,0.655597701314709,1,1
8,0.6657596562989082,0,0
13,0.7896227416070533,1,1
10,0.673789452231853,1,1
13,0.9507419860861616,1,1
8,0.8867323354340209,1,0
7,0.668055124894196,0,0
10,0.7653335498741817,1,1
17,1.016675572255282,1,1
11,0.92468939054988,1,1
12,0.8662453446968116,1,1
15,0.9205363259082252,1,1
8,0.7534661134734729,1,1
11,0.8615965276102537,1,1
9,0.6481114656968777,0,0
7,0.6761462166351307,1,0
10,0.6488024781473002,0,1
2,0.4544062921687137,0,0
9,0.812166148622005,1,1
8,0.6901989409004978,0,0
2,0.5150920508843014,0,0
5,0.4927252793336384,1,0
3,0.4621494937019487,1,0
5,0.6277191404247747,0,1
8,0.7051420983664275,1,0
10,0.9198489302715456,1,1
11,0.689916200024015,0,0
12,0.9600706689517297,1,1
14,0.9172090906777536,1,0
4,0.5662285674531737,0,1
11,0.7236285128443787,1,1
11,0.9033171623064034,1,1
5,0.7723735093476051,1,1
8,0.6901450244981531,0,0
9,0.8748006044254987,1,0
4,0.6065441328906478,0,0
7,0.5169748413790216,1,1
9,0.601669971267879,0,0
15,0.92028856447049,1,1
16,0.8452042145372999,1,1
9,0.7905424951058091,1,1
4,0.6145285212808164,0,0
10,0.7568585184996044,1,0
6,0.5357246268957888,1,0
4,0.5107420447051774,0,0
11,0.6523412885129354,1,0
9,0.6951760754753158,0,0
6,0.6153109052653866,1,1
8,0.7792216731324136,1,1
8,0.7731453521405104,1,0
7,0.7541856739913998,1,1
8,0.5763894680383594,0,0
9,0.7835879550166542,1,1
4,0.6030263395299581,0,0
9,0.6577519076057013,1,1
9,0.7402329981253837,1,1
6,0.6002049722910896,1,0
3,0.6058151515334089,0,0
12,0.8657392678982525,1,0
12,0.9909740725924993,1,0
12,0.8656522950495357,1,1
10,0.8375070595768138,1,1
4,0.4217856285870582,1,1
4,0.5989054248099511,1,0
8,0.5145324208296045,0,0
5,0.6572489528009748,1,0
17,0.9408152950575376,1,0
7,0.5522143441885631,0,0
11,0.7926390785635471,1,0
4,0.6457867874030554,0,0
7,0.7963513198238188,1,1
13,0.9202003279494974,1,1
5,0.6604169231628444,0,0
7,0.7297008057004425,1,0
11,0.8591729826494341,1,1
14,0.9278075386847676,1,1
4,0.6807112961933915,1,1
9,0.8202767162818081,1,1
11,0.7187610527807302,1,1
13,0.8650843386322148,1,1
3,0.4521703000974872,0,0
10,0.6770642810366015,0,0
6,0.662355946532697,1,1
5,0.6220968486689725,0,1
5,0.6199626370246142,0,0
4,0.5296292693928674,0,0
8,0.6612293886371828,0,1
8,0.7653208141424953,1,1
18,1.006216008733738,1,0
5,0.6230360862681803,0,1
8,0.692051811442745,1,1
10,0.607682935183152,0,0
11,0.6674368477653675,0,1
1,0.4834584673838308,0,0
4,0.6369879911750488,1,1
9,0.7633805140426361,1,1
7,0.8203241558314128,1,1
13,0.902612896575312,1,1
3,0.4823523448049401,1,0
9,0.9169828871601846,1,1
14,0.9473972480042918,1,1
11,0.9143310536301452,1,1
5,0.4718371333854612,0,0
15,0.8080940553707141,1,1
4,0.6199584337816277,1,0
15,0.8131566481408797,1,0
8,0.7786539180705038,1,1
9,0.8541776576403275,1,0
6,0.6836815277076672,0,1
12,0.8082785995445271,1,0
10,0.6664420519129561,0,1
4,0.5103023333136147,0,0
6,0.6873992970110702,0,0
10,0.8203159475028702,1,1
9,0.7392495798880276,1,1
7,0.7998374620972885,1,1
11,0.8859646103122314,1,1
9,0.7421093729910015,1,1
9,0.7689677696607654,1,1
5,0.4932026578444933,0,1
13,0.8139971581316923,1,0
4,0.5402555870776028,0,0
6,0.6621181189987184,0,0
5,0.4817611762429847,0,0
12,0.8819382394103027,1,1
11,0.7971728607153732,1,1
8,0.7413555430896166,1,0
7,0.6926578034584568,0,1
3,0.5761646105091262,0,0
8,0.4954441744836379,0,0
2,0.4810539174227174,1,0
4,0.5317044281805194,1,1
7,0.5558839288702975,0,0
6,0.7474658455178276,1,1
13,0.7709409254754882,1,0
14,0.8477942209533708,1,1
10,0.8533751200723356,1,1
6,0.7212972036558833,1,1
6,0.7373915162730887,1,0
5,0.6062049455504657,0,0
12,0.8570784950103847,1,1
4,0.5907934148014823,0,0
7,0.7651972964351077,1,1
5,0.5430817954196058,0,1
6,0.6227593220815492,0,0
8,0.7232149136323767,1,1
11,0.8939782178703278,1,1
7,0.8122048765103596,1,1
8,0.6427220930969002,0,1
13,0.7532386992951131,1,0
7,0.8632005522349842,1,1
6,0.5009070951140412,0,1
7,0.6982986340613236,0,0
7,0.5491444744272466,1,1
7,0.7346625741183448,1,1
7,0.6428098175087591,1,0
6,0.7110601076957785,1,1
9,0.8638880386127599,1,1
9,0.8103598079659152,1,1
10,0.9505699775147316,1,0
6,0.6639656091521984,1,1
8,0.807107148267319,1,1
10,0.6964627996489239,0,1
7,0.6909154248829648,1,1
1,0.4169235878256758,0,0
8,0.6330681558849042,1,0
13,0.9826291425112906,1,0
9,0.6292469737805821,1,1
13,0.8590867458542705,1,1
4,0.4152085314171616,1,0
7,0.6846261947221002,0,1
9,0.7151698978468852,1,1
5,0.6217596782286369,0,0
11,0.772878613332576,1,0
12,0.8704402391269456,1,1
9,0.7318634920585063,1,0
9,0.7310865090453242,1,0
10,0.7714312150905186,1,1
5,0.7171359627365829,1,0
12,0.9628139018304162,1,1
9,0.794840754267161,1,1
8,0.771296353956149,1,1
15,0.959725880725828,1,1
5,0.6262732743081016,1,0
5,0.510398479373376,0,0
10,0.6922351115151827,0,0
10,0.8675483571674276,1,1
4,0.5663818966308709,1,0
5,0.6174974364382351,0,1
8,0.7750714417691479,1,1
7,0.6201977624351751,0,0
9,0.9976643938809148,1,1
6,0.7510574972173247,1,0
6,0.585522526779158,0,0
16,0.8882090244674112,1,1
12,0.5929809561567613,0,0
3,0.4483546960938661,1,0
11,0.7068709770958026,1,0
6,0.5443145939619611,0,1
3,0.5667270841063017,1,0
8,0.7647428559843996,1,1
4,0.5194402457530597,0,0
6,0.6565184283985608,0,1
10,0.7620982240646724,1,0
9,0.8475594549741138,1,1
4,0.5910587263657288,0,0
11,0.7935266495863103,1,1
11,0.8252845274356821,1,1
12,0.7927243189888082,1,1
5,0.6883472928516116,0,1
18,0.8968545182437221,1,1
3,0.4763178515998983,0,0
8,0.7263341751968114,1,0
8,0.688038771419868,0,1
6,0.5371992948417175,0,0
4,0.600609305643507,0,0
12,0.8792222577424328,1,1
10,0.923960205354118,1,1
6,0.6939258976670173,1,1
1,0.3885262312916783,0,0
8,0.557765053940675,0,0
4,0.6530047557077239,1,0
11,0.8340562609744533,1,1
4,0.4077406721170892,0,0
12,0.696069090644282,0,0
6,0.5474552361820939,0,0
11,0.9480099535709914,1,1
5,0.5514558121531455,0,0
6,0.6025878753825978,0,0
9,0.8474180795034579,1,1
10,0.9848423987293788,1,1
7,0.6514312511367314,0,1
11,0.8338372406979198,1,1
9,0.6772143739423053,0,0
5,0.5183935331272677,0,1
2,0.6154672762553809,0,0
3,0.5754289985265433,0,0
10,0.7989184978793273,1,1
12,0.8072914363420268,1,0
12,0.7149644042782249,1,0
0,0.4926553064654577,1,0
3,0.6251839607355696,0,0
14,0.9447655704679708,1,1
13,0.750739135092809,1,0
12,0.9604749194079688,1,1
16,0.8832790398103327,1,1
6,0.5666723381283273,1,0
12,0.8112246402931284,1,0
8,0.7348463626382401,1,0
3,0.5044784267510187,0,0
9,0.8710910584264778,1,0
10,0.6888667666788277,1,0
12,0.8879687108120077,1,0
10,0.8637107455791909,1,0
11,0.830650072843314,1,0
3,0.520348628273924,0,0
9,0.8121685264041515,1,1
12,0.7757021231614643,1,1
8,0.6216422763074759,0,0
11,0.6667786417595074,0,0
3,0.4437388223647307,1,0
2,0.568311821025918,1,0
3,0.5490012805993946,1,0
4,0.5789990428478585,0,0
15,0.8942085515505145,1,1
2,0.5027124366986611,0,0
16,0.9626956252107776,1,1
8,0.7011161551109484,1,1
15,0.8602789904768411,1,1
8,0.7479394150422395,1,0
4,0.558034330404269,0,0
6,0.6885022530068396,0,1
17,0.905141780615625,1,1
10,0.5359299371115349,1,0
8,0.6729186806684634,0,0
8,0.5563258630554598,0,0
5,0.5043995968133218,0,0
8,0.7012914948996783,1,1
12,0.8606691557631828,1,1
10,0.7969037324099079,1,1
10,0.7781611486874026,1,1
4,0.4809757487020548,1,0
7,0.6306425150372806,0,1
8,0.7531748981006511,1,1
13,0.7384897008404188,1,1
4,0.51368718768815,1,1
3,0.4338795371189624,0,0
14,0.8174688424002791,1,0
7,0.6729557219438825,1,1
14,0.9514571308740956,1,1
3,0.6026557385517741,0,0
7,0.6107911120664231,1,0
9,0.7553818397169024,1,1
4,0.5982972236493287,1,1
7,0.7439904342222878,1,0
5,0.5825521267448871,0,0
1,0.4850645459563665,0,0
11,0.7877598959930411,1,0
3,0.5050773511614242,0,0
7,0.7300410881919462,1,1
10,0.8376269865188082,1,0
4,0.591240767851333,1,0
7,0.7966684714908305,1,1
10,0.9168269206661956,1,1
13,0.9470197052370308,1,1
7,0.6345169616543427,1,0
14,0.946922713154326,1,1
14,0.8697949607396783,1,1
14,0.9409041990526268,1,1
3,0.4146685259854468,0,0
17,0.8322108395418513,1,0
7,0.6298966226810442,0,1
11,0.9868362263320538,1,1
6,0.657754413566465,0,0
7,0.6540566348711894,1,1
5,0.729304278408754,1,1
7,0.6487211105133603,0,1
11,0.6578029483561295,0,1
6,0.7621326734718901,1,1
4,0.426535828096056,0,0
8,0.8468467391918055,1,1
11,0.7859720614222676,1,1
9,0.8304924492882064,1,1
9,0.7827151397993399,1,1
9,0.7586522849904737,1,0
4,0.4962445579180518,0,0
12,0.7326855612167504,1,1
5,0.6155492259412849,0,0
4,0.6352217469800017,0,0
13,0.8971236209509663,1,1
1,0.3880474973128041,0,0
9,0.6969569379966134,1,1
7,0.7005106373046177,1,1
7,0.7378627432300738,1,1
11,0.8523023413641168,1,0
4,0.5448823057426804,0,0
6,0.652235773166757,1,1
9,0.8009344457916174,1,0
14,0.8402884540359584,1,1
11,0.7736099260538509,1,1
10,0.4970499778091025,1,1
8,0.7107895843123541,1,1
5,0.5514670590438397,0,0
7,0.7036866681997959,1,1
7,0.627406962190212,0,0
4,0.553970729290467,0,0
5,0.4987341073000365,0,0
9,0.8833736829353535,1,1
3,0.500236995242205,0,0
4,0.5991039645403469,0,0
11,0.9228484826986,1,1
10,0.6619596967185191,0,0
8,0.7082945742676823,1,1
10,0.7664199031451367,1,1
3,0.5724589557874126,0,0
15,0.789174463002935,1,1
5,0.5998213805421513,1,0
8,0.6783121923824835,1,1
11,0.751807889747151,1,0
10,0.5908908881806358,0,0
10,0.7977189942683626,1,1
6,0.6501431690942617,1,1
10,0.7977792244727729,1,1
14,0.7601866253166495,1,1
13,0.7688546556604438,1,0
10,0.786967948429859,1,0
4,0.5597735080987126,1,1
6,0.6606801500836728,0,0
9,0.7445759988418555,1,0
8,0.7834195726216772,1,0
5,0.697209072839604,1,1
8,0.8078594390218755,1,1
3,0.5905388862426822,0,0
5,0.7670794848782305,1,0
9,0.8847359730152262,1,1
9,0.7067872589678046,1,1
4,0.6420820455698695,1,1
2,0.4836378212635391,0,0
11,0.8098445424790501,1,1
5,0.5376503378561437,1,1
5,0.6392131621690309,1,0
11,0.6898652728216573,0,0
8,0.7695691714398917,1,1
9,0.6216087675447923,0,0
5,0.6367408221062779,0,0
6,0.6563153044038873,1,0
7,0.7902639124908135,1,1
8,0.7420785522917105,1,0
8,0.5739083191214613,1,1
6,0.6391431207422347,0,1
6,0.714748364295985,1,1
9,0.7489133326057408,1,1
5,0.5925477383333683,0,0
5,0.5053397786263627,0,0
9,0.76865622344337,1,1
6,0.6194816847445721,0,1
8,0.6569815382045614,1,0
3,0.6458912679831631,0,0
11,0.735274650824009,1,1
10,0.763562908381646,1,1
5,0.6215283430590257,0,0
10,0.8085431238282261,1,1
15,0.9679156514227883,1,0
7,0.6783848938973792,0,0
6,0.7033771743573335,1,0
6,0.6634429125210473,0,0
5,0.6255808329627814,0,0
9,0.7936108692932625,1,0
8,0.521369119957605,0,0
3,0.6425113046770573,1,0
9,0.7741360847973363,1,0
1,0.4547701531435232,1,0
10,1.0035202989245642,1,1
14,0.8146336779520484,1,0
7,0.5326072137577713,1,0
4,0.5736896621343522,0,0
3,0.6500420914560374,0,0
6,0.5129019964420763,0,0
4,0.6422574577874788,0,1
2,0.4487142361716897,0,0
14,0.911116931889571,1,1
13,0.8162849434961457,1,1
6,0.7670294498593433,1,1
4,0.5405071929954886,1,1
7,0.6759955126406741,0,1
9,0.7240410112554588,1,1
5,0.6602871547397635,1,0
10,0.8794247273143835,1,1
6,0.6560184088854671,0,1
6,0.6329000437843454,0,1
9,0.8825356690307801,1,1
7,0.7716264457261276,1,1
10,0.6853426303285617,0,1
7,0.6715230562004662,0,1
12,0.8555762387078117,1,1
8,0.704831129851739,1,0
8,0.5776534476598598,0,0
11,0.846913760374198,1,1
8,0.7821712156614118,1,1
9,0.5864875893492828,0,1
17,0.8867871145578069,1,1
7,0.8080017844448758,1,0
9,0.6359625818770694,0,1
1,0.5283850355831038,1,0
7,0.6919976428889424,0,1
9,0.8524951538414584,1,0
4,0.479556295322535,1,0
8,0.6451372113581411,1,1
7,0.626669915744879,0,1
9,0.7106238979089953,1,0
9,0.705502970860591,1,0
6,0.6063993764601242,0,1
12,0.9099265308251576,1,1
9,0.6212761662521923,0,0
6,0.5340499477771548,0,0
8,0.5891605966720052,1,0
13,0.9840457949221164,1,1
4,0.4712077783297883,0,0
5,0.6492366858777997,0,0
13,0.993965477507324,1,1
7,0.7518625114423004,1,1
5,0.4735741636105898,0,0
6,0.5285336645415055,0,0
8,0.6213458441873526,1,0
4,0.6060992517568645,1,1
10,0.8009577405273576,1,1
3,0.6268438442932781,0,0
4,0.625370668104623,1,0
4,0.6210721620250956,1,0
6,0.4970107330385008,0,0
8,0.7434199872860101,1,1
4,0.540707665379867,1,1
13,0.7578046521662088,1,1
10,0.8937881172141113,1,1
4,0.5373218661538335,0,0
7,0.5705117786283812,0,1
8,0.779469545775844,1,1
11,0.8567702585700616,1,1
3,0.3668836299598747,0,0
3,0.4964785779453007,0,0
17,0.7692424869514023,1,0
7,0.5406550294270895,0,0
7,0.5978837805872854,0,0
8,0.7386216050067939,1,0
6,0.7649186889845678,1,1
12,0.9628038599701396,1,1
7,0.6349247515876978,1,0
10,1.018906854202588,1,1
7,0.8141612227990279,1,1
11,0.8635086909077372,1,1
7,0.7276133924935645,1,1
5,0.5861029803956024,1,1
9,0.5718521937886681,1,0
12,0.6667081430310459,1,0
8,0.6472729316528424,0,0
10,0.8453114135278414,1,0
7,0.7592260547095986,1,0
3,0.5873217362090243,1,0
11,0.7280649974999645,1,0
10,0.7861537977050667,1,1
7,0.8079820166542672,1,0
4,0.5725219583730683,1,0
6,0.6894176507683362,1,0
4,0.6392830896974225,0,0
9,0.885473436590523,1,1
5,0.602271994968857,0,0
2,0.4420908336877688,1,0
5,0.5019090843721526,0,0
3,0.5332306651158198,0,0
6,0.6306233869465062,0,0
10,0.7821448565824614,1,0
9,0.5330024914681417,1,1
8,0.7539888820236961,1,0
12,0.739941699118323,1,1
10,0.7559004656691033,1,0
9,0.6920390039409239,1,0
10,0.5848457985445294,0,0
5,0.5810048571520066,0,0
10,0.8089077035273448,1,1
13,0.8185229621258655,1,0
2,0.600364305857513,1,0
10,0.7750294472575356,1,1
14,0.7872023312557181,1,0
8,0.7568959130894016,1,1
4,0.5526218439536303,0,0
6,0.6961421688592258,1,0
14,0.927403269684971,1,0
6,0.5404785755989963,1,0
14,0.8737948344974704,1,0
6,0.6889830407342773,1,0
3,0.4958636504968132,0,0
10,0.7482257522431415,1,1
8,0.5087945815763906,0,0
5,0.7107007983231943,1,1
12,0.8692697501850186,1,1
4,0.5520449022118696,1,0
2,0.4875685867584056,1,0
11,0.9273063513113528,1,1
9,0.7222625149922153,1,1
8,0.650422408479087,0,0
7,0.7801188924765831,1,0
4,0.6140500461822881,0,0
8,0.70654411195677,1,1
10,0.6389912144725907,0,0
13,0.8505894849579545,1,1
9,0.7524806931478001,1,0
6,0.6813412889235329,1,1
4,0.5674874750595549,1,1
8,0.6085883478835011,1,1
8,0.643531950385093,1,1
12,0.996646391355629,1,0
5,0.5540342905924501,0,0
4,0.5514265085176315,0,0
9,0.7258569370413764,1,0
7,0.5208560504242583,1,0
10,0.8207587026267569,1,0
9,0.8086076019666524,1,1
7,0.650860058552044,0,0
10,0.5972694836763103,1,1
7,0.6271175402663183,1,1
7,0.6623233489613702,0,0
4,0.504016199678343,1,0
6,0.7013764864597087,1,1
17,0.8194008988022846,1,1
10,0.7552209095687751,1,0
6,0.5618696585735605,1,0
6,0.5322166903128404,0,1
2,0.5445661626894849,1,0
9,0.7021467199172209,1,0
10,0.8136490808400976,1,1
5,0.554832751005512,1,1
6,0.5972469007978024,0,0
7,0.7397835486130956,1,1
11,0.981504636221173,1,1
10,0.9231434235145272,1,1
6,0.5316046000616522,1,1
10,0.7766421858681534,1,0
16,0.9890720879465574,1,1
3,0.4921675777800245,0,0
11,0.6275506763141879,0,0
7,0.6503196998271559,0,0
5,0.4795814241999157,0,0
13,0.6462251103620335,1,0
3,0.4728201623758124,0,0
9,0.8042705793803084,1,0
13,0.844605022534049,1,0
12,0.8515112504864873,1,1
12,0.7672977514820352,1,1
8,0.5832067453664549,0,1
6,0.7728947517342557,1,1
8,0.8171227631236385,1,0
5,0.5586396493745528,1,0
8,0.763064712761136,1,1
5,0.5158675332341123,0,0
11,0.5833852880701028,0,0
5,0.5845318301792478,0,0
